scientific_name,pilot_stratum,reason
Artemisia tridentata,arid_shrub,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Picea glauca,boreal_conifer,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Picea abies,boreal_temperate_conifer,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Pteridium aquilinum,fern,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Abies lasiocarpa,montane_tree,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Nothofagus antarctica,southern_temperate_tree,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Capsella bursa-pastoris,temperate_annual_herb,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Betula pendula,temperate_deciduous_tree,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Vaccinium myrtillus,temperate_shrub,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Avicennia germinans,tropical_mangrove,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Typha angustifolia,wetland_emergent,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
Phalaris arundinacea,wetland_grass,predeclared_rank1_passed_frozen_80_occurrence_50_cell_eligibility
