family,seed,target_block,process_a,process_b,a_high_confidence_supported,b_high_confidence_supported
soft_threshold,17001,2,temperature,water,True,True
soft_threshold,17001,3,temperature,water,True,True
soft_threshold,17001,4,temperature,water,True,True
soft_threshold,17001,6,temperature,water,True,True
soft_threshold,17001,7,temperature,water,True,True
soft_threshold,17002,0,temperature,water,True,True
soft_threshold,17002,1,temperature,water,True,True
soft_threshold,17002,2,temperature,water,True,True
soft_threshold,17002,3,temperature,water,True,True
soft_threshold,17002,4,temperature,water,True,True
soft_threshold,17002,5,temperature,water,True,True
soft_threshold,17002,6,temperature,water,True,True
soft_threshold,17002,7,temperature,water,True,True
soft_threshold,17003,0,temperature,water,True,True
soft_threshold,17003,1,temperature,water,True,True
soft_threshold,17003,2,temperature,water,True,True
soft_threshold,17003,3,temperature,water,True,True
soft_threshold,17003,4,temperature,water,True,True
soft_threshold,17003,5,temperature,water,True,True
soft_threshold,17003,6,temperature,water,True,True
soft_threshold,17003,7,temperature,water,True,True
soft_threshold,17004,0,temperature,water,True,True
soft_threshold,17004,1,temperature,water,True,True
soft_threshold,17004,2,temperature,water,True,True
soft_threshold,17004,3,temperature,water,True,True
soft_threshold,17004,4,temperature,water,True,True
soft_threshold,17004,5,temperature,water,True,True
soft_threshold,17004,6,temperature,water,True,True
soft_threshold,17004,7,temperature,water,True,True
soft_threshold,17005,0,temperature,water,True,True
soft_threshold,17005,1,temperature,water,True,True
soft_threshold,17005,2,temperature,water,True,True
soft_threshold,17005,3,temperature,water,True,True
