family,seed,target_block,process_a,process_b,a_high_confidence_supported,b_high_confidence_supported
asymmetric,17002,5,temperature,water,False,False
asymmetric,17002,6,temperature,water,True,True
asymmetric,17004,4,temperature,water,True,True
asymmetric,17004,6,temperature,water,True,False
asymmetric,17004,7,temperature,water,True,True
asymmetric,17005,0,temperature,water,True,True
asymmetric,17006,6,temperature,water,True,True
asymmetric,17007,3,temperature,water,True,True
asymmetric,17008,6,temperature,water,True,True
asymmetric,17009,2,temperature,water,False,False
asymmetric,17009,7,temperature,water,True,True
asymmetric,17010,0,temperature,water,True,True
asymmetric,17010,4,temperature,water,True,True
asymmetric,17010,6,temperature,water,True,True
gaussian,17001,0,temperature,water,True,True
gaussian,17001,1,temperature,water,True,True
gaussian,17001,2,temperature,water,True,True
gaussian,17001,3,temperature,water,True,True
gaussian,17001,4,temperature,water,True,True
gaussian,17001,5,temperature,water,True,True
gaussian,17001,6,temperature,water,True,True
gaussian,17001,7,temperature,water,True,True
gaussian,17002,0,temperature,water,False,False
gaussian,17002,1,temperature,water,True,True
gaussian,17002,2,temperature,water,True,True
gaussian,17002,3,temperature,water,True,True
gaussian,17002,4,temperature,water,True,True
gaussian,17002,5,temperature,water,True,True
gaussian,17002,6,temperature,water,True,True
gaussian,17002,7,temperature,water,True,True
gaussian,17003,0,temperature,water,True,True
gaussian,17003,1,temperature,water,True,True
gaussian,17003,2,temperature,water,True,True
gaussian,17003,3,temperature,water,True,True
gaussian,17003,4,temperature,water,True,True
gaussian,17003,5,temperature,water,True,True
gaussian,17003,6,temperature,water,True,True
gaussian,17003,7,temperature,water,True,True
gaussian,17004,0,temperature,water,True,True
gaussian,17004,1,temperature,water,True,True
gaussian,17004,2,temperature,water,True,True
gaussian,17004,3,temperature,water,True,True
gaussian,17004,4,temperature,water,True,True
gaussian,17004,5,temperature,water,True,True
gaussian,17004,6,temperature,water,True,True
gaussian,17004,7,temperature,water,True,True
gaussian,17005,0,temperature,water,True,True
gaussian,17005,1,temperature,water,True,True
gaussian,17005,2,temperature,water,True,True
gaussian,17005,3,temperature,water,True,True
gaussian,17005,4,temperature,water,True,True
gaussian,17005,5,temperature,water,True,True
gaussian,17005,6,temperature,water,True,True
gaussian,17005,7,temperature,water,True,True
interaction,17001,1,temperature,water,True,True
interaction,17001,7,temperature,water,True,False
interaction,17002,0,temperature,water,True,True
interaction,17002,1,temperature,water,True,True
interaction,17002,2,temperature,water,True,True
interaction,17002,3,temperature,water,True,True
interaction,17002,4,temperature,water,True,True
interaction,17002,5,temperature,water,True,True
interaction,17002,6,temperature,water,True,True
interaction,17002,7,temperature,water,True,True
interaction,17003,0,temperature,water,True,True
interaction,17003,4,temperature,water,True,True
interaction,17003,5,temperature,water,True,True
interaction,17003,7,temperature,water,True,True
interaction,17004,2,temperature,water,True,True
interaction,17004,4,temperature,water,True,True
interaction,17004,5,temperature,water,True,True
interaction,17004,6,temperature,water,True,True
interaction,17004,7,temperature,water,True,True
interaction,17005,2,temperature,water,True,True
interaction,17005,4,temperature,water,True,True
interaction,17005,6,temperature,water,True,True
interaction,17006,0,temperature,water,True,True
interaction,17006,1,temperature,water,True,True
interaction,17006,3,temperature,water,True,True
interaction,17006,5,temperature,water,True,True
interaction,17007,2,temperature,water,True,True
interaction,17007,6,temperature,water,True,True
interaction,17008,0,temperature,water,True,True
interaction,17008,2,temperature,water,True,True
interaction,17009,0,temperature,water,True,True
interaction,17009,4,temperature,water,True,True
interaction,17009,7,temperature,water,True,True
interaction,17010,4,temperature,water,True,True
omitted_driver,17001,0,temperature,water,True,True
omitted_driver,17001,1,temperature,water,True,True
omitted_driver,17001,4,temperature,water,True,True
omitted_driver,17001,7,temperature,water,True,True
omitted_driver,17002,2,temperature,water,True,True
omitted_driver,17002,4,temperature,water,True,True
omitted_driver,17003,6,temperature,water,True,True
omitted_driver,17004,0,temperature,water,True,True
omitted_driver,17004,7,temperature,water,True,True
omitted_driver,17005,3,temperature,water,True,True
omitted_driver,17005,6,temperature,water,True,True
omitted_driver,17006,2,temperature,water,True,True
omitted_driver,17007,1,temperature,water,True,True
omitted_driver,17007,5,temperature,water,True,True
omitted_driver,17009,3,temperature,water,True,True
omitted_driver,17010,7,temperature,water,True,True
observation_confounded,17001,0,temperature,water,False,False
observation_confounded,17001,1,temperature,water,True,True
observation_confounded,17001,2,temperature,water,True,True
observation_confounded,17001,3,temperature,water,True,True
observation_confounded,17001,4,temperature,water,True,True
observation_confounded,17001,5,temperature,water,True,True
observation_confounded,17001,6,temperature,water,True,True
observation_confounded,17001,7,temperature,water,True,True
observation_confounded,17002,0,temperature,water,True,True
observation_confounded,17002,1,temperature,water,True,True
observation_confounded,17002,2,temperature,water,True,True
observation_confounded,17002,3,temperature,water,True,True
observation_confounded,17002,4,temperature,water,True,True
observation_confounded,17002,5,temperature,water,True,True
observation_confounded,17002,6,temperature,water,True,True
observation_confounded,17002,7,temperature,water,True,True
observation_confounded,17004,4,temperature,water,False,True
observation_confounded,17005,2,temperature,water,True,False
observation_confounded,17007,2,temperature,water,True,True
observation_confounded,17009,4,temperature,water,True,True
observation_confounded,17010,1,temperature,water,True,True
soft_threshold,17001,0,temperature,water,True,True
