predictor,empirical_process_domain,source_process
bio1,thermal,temperature
bio2,thermal,temperature
bio3,seasonality_phenology,seasonality
bio4,seasonality_phenology,seasonality
bio5,thermal,thermal_extremes
bio6,thermal,thermal_extremes
bio7,seasonality_phenology,seasonality
bio8,thermal,temperature
bio9,thermal,temperature
bio10,thermal,temperature
bio11,thermal,temperature
bio12,water,drought_water
bio13,water,drought_water
bio14,water,drought_water
bio15,seasonality_phenology,seasonality
bio16,water,drought_water
bio17,water,drought_water
bio18,water,drought_water
bio19,water,drought_water
fcf,thermal,thermal_extremes
gdd0,thermal,thermal_energy
gdd5,thermal,thermal_energy
gdd10,thermal,thermal_energy
gdgfgd5,seasonality_phenology,phenology
gdgfgd10,seasonality_phenology,phenology
fgd,seasonality_phenology,phenology
gsl,seasonality_phenology,phenology
gsp,water,drought_water
gst,thermal,temperature
lgd,seasonality_phenology,phenology
ngd0,thermal,thermal_energy
ngd5,thermal,thermal_energy
ngd10,thermal,thermal_energy
npp,energy_productivity,productivity
scd,snow,snow
swe,snow,snow
vpd,water,drought_water
pet,water,drought_water
cmi,water,drought_water
rsds,energy_productivity,radiation
sfcWind,wind,wind
hurs,water,drought_water
clt,energy_productivity,radiation
