selection_rank,scientific_name,family,genus,n_occurrences,n_unique_1_degree_cells,selection_hash
1,Achillea setacea,Asteraceae,Achillea,2503,304,00014c59f9516a8efe9d241f10eb959e360ead7d12c2407fde360f6cb717224b
2,Pimpinella villosa,Apiaceae,Pimpinella,618,43,0003e84dee0cc45cca061a904d188f1cfe7f388ffa3f2aa9672d3eb26ef7c27b
3,Euphrasia tetraquetra,Orobanchaceae,Euphrasia,1092,65,0006f12d2f4ddf391bb470e3464e97a787fd6e85a3b50098c607e38aac62f8ec
4,Rytidosperma pilosum,Poaceae,Rytidosperma,1615,75,0009ae88065b03899b400563c7576cef9984184d23b481f08b447fe51ea061c2
5,Raoulia tenuicaulis,Asteraceae,Raoulia,841,35,000a8dc3ffbbc791abcc52ba8ec3a024261a7c9411c4f21865b8afa38c6bf71c
6,Saponaria ocymoides,Caryophyllaceae,Saponaria,27573,353,000e344f6cc02aec0df265de230a50923fb8e3032caae90c3e7ea0d3c4ba1c9d
7,Arctostaphylos manzanita,Ericaceae,Arctostaphylos,1204,21,000e4cc324bd99c0b3fe3057e3bf1d69b6bb1ac95eef9320d29cf87b8e6bc8b0
8,Nelumbo nucifera,Nelumbonaceae,Nelumbo,5094,655,001cdae55ff6f2469bfba023ef8229728a5a4356331b6b709dfbdd21343e22f2
9,Dendrobium cunninghamii,Orchidaceae,Dendrobium,1457,46,001e5a6e6f89506302629f2ef704bb1819d5a1462423c8dfd304d7b36066d207
10,Commelina obliqua,Commelinaceae,Commelina,588,153,00202df42b7375d276b6e3349015740046dd99b1dd36936bdb619f35d1668191
11,Eucalyptus microcorys,Myrtaceae,Eucalyptus,6859,41,0026e710e558794df47ded072e5550489f58eb0de8fe5208273b0490c1793146
12,Rubus elegantispinosus,Rosaceae,Rubus,738,125,002dc880527726767e9a33e5b3a0670e2d4fb47731897efc760aa50b75edb07a
13,Gentiana burseri,Gentianaceae,Gentiana,678,20,0036e87a0b23798bd078df7941d00edb061d1b29964cf891df5e71c880578e47
14,Ranunculus thora,Ranunculaceae,Ranunculus,1332,48,00443882876541f4d3484cfad56958628d2dec821477463dd36eeb881cc8a206
15,Cordia lutea,Cordiaceae,Cordia,1457,57,00444350486998e27a084e8e220d1a7bba70d4ac8b679e956b86a027564912e4
16,Aidia micrantha,Rubiaceae,Aidia,672,46,004532139440454ac5b8e069f69173f60f2d0d6529e784868204b307353c234f
17,Carex demissa × oederi,Cyperaceae,Carex,682,22,0045d970b60a02e4071538bbd06e07b1ce2350d35a2b1d79e1499878ed6a1397
18,Bupleurum praealtum,Apiaceae,Bupleurum,1387,76,0046068f42d300ac5d60f012fe3d8342eb7c2b81abd1f5509aa6c3b0c9b8e3e2
19,Microsorum scolopendria,Polypodiaceae,Microsorum,2969,262,004c3d9fec474c285b021fedd1632ede832c772ad11fb4b8cb16478ce68208a4
20,Amphilophium crucigerum,Bignoniaceae,Amphilophium,992,259,00506698d2721324a9f672b835f5a770ea2231846c5613512f51e68133e1b289
21,Pinus taeda,Pinaceae,Pinus,7563,276,0052cb9444f1fdc2ac6298427f7ed9779d3dbc96afce79a555c1f1bf523afd30
22,Geonoma pohliana,Arecaceae,Geonoma,6361,57,005e08608558ff477bcc8fcfebc4e068a68b998752660fd8f8ff6432bb47fac7
23,Spiraea arguta,Rosaceae,Spiraea,913,120,0076c5946ca038a005c402b5074de407c816f15b6433404152181fc33e7ceca8
24,Amyema pendula,Loranthaceae,Amyema,2839,77,00783e9a3885680286085323ae768c185497f302390fbf0f0b937bd3787944f4
25,Sabatia angularis,Gentianaceae,Sabatia,4852,199,0084139e32aa2281815da04b2f9cc894faed7029d3bf735984c81affd359c2bf
26,Eremophila mitchellii,Scrophulariaceae,Eremophila,2369,104,008b6eea089b64e66d4c993f1dfe08e3f8ee55db06b7215d63f6c6bb747dc508
27,Ophrys arachnitiformis,Orchidaceae,Ophrys,2690,72,008de00fc14a579e2907f21f7feb73c06e1bc559a7bb815a843d67adf7ab20bb
28,Broussonetia monoica,Moraceae,Broussonetia,596,88,0091cef787603c531420c6770cd2a7a4d77b88da66b205697077595c403b1106
29,Diplaziopsis pycnocarpos,Diplaziopsidaceae,Diplaziopsis,1689,146,0092100f0c2fa3e68ab50c8716875185eaef3b13cd50c9dada71ad464a08783f
30,Aira cupaniana,Poaceae,Aira,3533,170,009b6b57e74feaeb90d73d4efada39dbf085564ffbeba4d61b266325dd167d86
31,Cryptantha barbigera,Boraginaceae,Cryptantha,791,55,009c66ef5a03434d0583892182421d4d234b0bda175f0977c8a43f9eda6c4b24
32,Camassia quamash,Asparagaceae,Camassia,5392,141,00a1535f81687ae34c8d817c77ce58d4e1dbba7b54b51a89b8e393afb165d6cd
33,Eriodictyon californicum,Namaceae,Eriodictyon,7541,35,00a1b8f9a961011044393077de985ced5f03cabb369dea6c8a926db5910b07a3
34,Ceanothus oliganthus,Rhamnaceae,Ceanothus,1160,20,00ab8f632481f880e2ce74ef5109320d970cd525f85b40483ed783667a5a4bcb
35,Champereia manillana,Opiliaceae,Champereia,1680,35,00ad332aab16e4c5727f34b594a786332458069c107f62030bc51e875c6b9458
36,Miconia sericea,Melastomataceae,Miconia,716,107,00afbda53ab408e3dd19fc7e148cd9e9e9c653428d3df7eef31407f43701b765
37,Quercus lyrata,Fagaceae,Quercus,1035,142,00b336967ef0c29ee50f572efcf6c8c6fb662d7d673b76b1ba6c1db1bd6a1b83
38,Epilobium melanocaulon,Onagraceae,Epilobium,571,21,00c0991ccb0fd35c020bd322a1ea61bbd3a98381967e33b1ecb962be3f57cd97
39,Euphorbia tithymaloides,Euphorbiaceae,Euphorbia,929,379,00c63e1110f634e4ccf1268d66856940ff2aecfd2f2e99e0c7e1af7d6f0c3612
