selection_rank,scientific_name,family,genus,n_occurrences,n_unique_1_degree_cells,selection_hash
40,Carya ovata,Juglandaceae,Carya,11936,306,00c74dee2be2da9f166fdde12c0778c1ae41232480ff895a8ac6d951cfd7b404
41,Trichilia elegans,Meliaceae,Trichilia,986,151,00c85735c5afa019ed59c0923ecc4775f38b0113c245c4b8c74c8014a27205f4
42,Anemone ranunculoides,Ranunculaceae,Anemone,44446,836,00ca6e062e5447ef43fe65695edaf9cac8954af010db64b6086cd7886c9bd88e
43,Salvadora persica,Salvadoraceae,Salvadora,848,149,00d7442b3ad48a564f1d8fbca841dcaef1f5a8ebb55ad7da9d9138004f44e17d
44,Selaginella arenicola,Selaginellaceae,Selaginella,836,27,00e034c627130aaee970747bd42576fe5056da2b75fb5c6bb28edbf7bfa523e9
45,Viburnum prunifolium,Viburnaceae,Viburnum,6991,184,00e058794bdde1d462db974abad0bad4a8de3ec52cc8c6fcd1617a541823a39b
46,Crassula ovata,Crassulaceae,Crassula,1736,146,00e466e9488b5d663362440af5069d96e9968e917e7fe6678464c707878778a2
47,Jovibarba globifera,Crassulaceae,Jovibarba,2063,112,00e838d94e12eef910ba6ccea409250e75f366ea7c5b9dbb480fdc430963b431
48,Hypoestes forskaolii,Acanthaceae,Hypoestes,1432,174,00e8a50bca846d9cf7bc6bd903cb3281f27ab611c186f07b3e33072d2b5fa887
49,Dithyrea californica,Brassicaceae,Dithyrea,1288,32,00fbf4a4de7be25d9b617ccaeea94c79d2da8a0b3f374b8b31448b0798ee65bd
50,Philodendron quinquenervium,Araceae,Philodendron,512,124,0102febc605c9abcb21536fd8d49b092b7701aac07144b76e7eb1ab41e75c439
