scientific_name,role,model_presence_count,selection_basis,role_assignment_rule
Nothofagus pumilio,discovery,406,five_smallest_model_pool_occurrence_counts_only,frozen_cache_seed_20260814_shuffle_sorted_names_validation_first_2
Eucalyptus pauciflora,discovery,2794,five_smallest_model_pool_occurrence_counts_only,frozen_cache_seed_20260814_shuffle_sorted_names_validation_first_2
Picea mariana,discovery,2588,five_smallest_model_pool_occurrence_counts_only,frozen_cache_seed_20260814_shuffle_sorted_names_validation_first_2
Rhizophora mangle,validation,2433,five_smallest_model_pool_occurrence_counts_only,frozen_cache_seed_20260814_shuffle_sorted_names_validation_first_2
Larrea tridentata,validation,5803,five_smallest_model_pool_occurrence_counts_only,frozen_cache_seed_20260814_shuffle_sorted_names_validation_first_2
