scientific_name,role,model_presence_count,selection_basis,role_assignment_rule
Arabidopsis thaliana,validation,59173,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Quercus robur,discovery,68134,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Pinus sylvestris,discovery,90580,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Phragmites australis,discovery,53045,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Calluna vulgaris,discovery,71798,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Dryopteris filix-mas,discovery,87331,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Larrea tridentata,validation,5803,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Rhizophora mangle,discovery,2433,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Nothofagus pumilio,discovery,406,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Eucalyptus pauciflora,discovery,2794,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Picea mariana,validation,2588,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
Typha latifolia,discovery,69262,frozen_pilot_taxon_selection_ledger_all12,frozen_cache_seed_20260814_shuffle_sorted_names_validation_fraction_0.25
