scientific_name,source_files,exclusion_reason
"Nothofagus betuloides","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Nothofagus dombeyi","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Nothofagus pumilio","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_smoke_taxa.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv;configs/product_a_v2_empirical_transfer_stage1_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Phalaris arundinacea","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Phragmites australis","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Picea abies","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Picea engelmannii","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Picea glauca","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Picea mariana","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv;configs/product_a_v2_empirical_transfer_stage1_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Picea rubens","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Picea sitchensis","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Pinus banksiana","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Pinus cembra","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Pinus contorta","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Pinus resinosa","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Pinus sylvestris","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Poa annua","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Polypodium vulgare","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Polystichum acrostichoides","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Pontederia cordata","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Pseudotsuga menziesii","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Pteridium aquilinum","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Quercus robur","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Rhizophora apiculata","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Rhizophora mangle","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv;configs/product_a_v2_empirical_transfer_stage1_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Rhizophora mucronata","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Rosa canina","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Rubus idaeus","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Sagittaria latifolia","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Sambucus nigra","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Schoenoplectus acutus","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Schoenoplectus tabernaemontani","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Senecio vulgaris","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Stellaria media","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Thuja occidentalis","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Typha angustifolia","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Typha latifolia","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Ulex europaeus","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Vaccinium myrtillus","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Veronica persica","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
