scientific_name,source_files,exclusion_reason
"Abies alba","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Abies balsamea","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Abies concolor","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Abies lasiocarpa","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Acer platanoides","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Acer pseudoplatanus","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Agrostis stolonifera","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Alnus glutinosa","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Alopecurus geniculatus","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Arabidopsis thaliana","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Artemisia tridentata","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Asplenium trichomanes","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Athyrium filix-femina","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Atriplex canescens","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Atriplex polycarpa","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Avicennia germinans","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Avicennia marina","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Betula pendula","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Betula pubescens","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Bruguiera gymnorhiza","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Calamagrostis canadensis","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Calluna vulgaris","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Capsella bursa-pastoris","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Carex rostrata","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Corylus avellana","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Dryopteris filix-mas","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Encelia farinosa","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Ephedra viridis","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Ericameria nauseosa","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Eucalyptus delegatensis","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Eucalyptus globulus","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Eucalyptus obliqua","configs/product_a_v2_8_1_fresh_confirmation_taxa.csv;configs/product_a_v2_8_1_fresh_taxon_candidates.csv;configs/product_a_v2_8_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Eucalyptus pauciflora","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_smoke_taxa.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv;configs/product_a_v2_empirical_transfer_stage1_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Eucalyptus regnans","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Fagus sylvatica","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Glyceria maxima","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Iris pseudacorus","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Juniperus communis","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Laguncularia racemosa","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_3_rank3_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Lamium purpureum","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Larix laricina","configs/product_a_v2_7_1_fresh_taxon_candidates.csv;configs/product_a_v2_7_2_fresh_confirmation_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Larrea tridentata","configs/product_a_pilot_taxa_v1.csv;configs/product_a_v2_empirical_transfer_all12_taxa.csv;configs/product_a_v2_empirical_transfer_stage1_taxa.csv","historical_product_a_taxon_or_predeclared_candidate"
"Matteuccia struthiopteris","configs/product_a_v2_8_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
"Nothofagus antarctica","configs/product_a_v2_7_1_fresh_confirmation_taxa.csv;configs/product_a_v2_7_1_fresh_taxon_candidates.csv","historical_product_a_taxon_or_predeclared_candidate"
