"family","seed","target_block","process_a","process_b","state","n_sources"
"asymmetric","17002","5","temperature","water","joint_required","7"
"asymmetric","17002","6","temperature","water","joint_required","7"
"asymmetric","17004","4","temperature","water","joint_required","7"
"asymmetric","17004","6","temperature","water","joint_required","7"
"asymmetric","17004","7","temperature","water","joint_required","7"
"asymmetric","17005","0","temperature","water","joint_required","7"
"asymmetric","17006","6","temperature","water","joint_required","7"
"asymmetric","17007","3","temperature","water","joint_required","7"
"asymmetric","17008","6","temperature","water","joint_required","7"
"asymmetric","17009","6","temperature","water","joint_required","7"
"asymmetric","17009","6","temperature","noise","a_specific","7"
"asymmetric","17009","6","water","noise","a_specific","7"
"asymmetric","17010","0","temperature","water","joint_required","7"
"asymmetric","17010","6","temperature","water","joint_required","7"
"gaussian","17001","2","temperature","water","joint_required","7"
"gaussian","17001","4","temperature","water","joint_required","7"
"gaussian","17001","5","temperature","water","joint_required","7"
"gaussian","17001","7","temperature","water","joint_required","7"
"gaussian","17001","7","temperature","seasonality","a_specific","7"
"gaussian","17001","7","water","seasonality","a_specific","7"
"gaussian","17002","4","temperature","water","joint_required","7"
"gaussian","17002","5","temperature","water","joint_required","7"
"gaussian","17002","6","temperature","water","joint_required","7"
"gaussian","17003","1","temperature","water","joint_required","7"
"gaussian","17003","4","temperature","water","joint_required","7"
"gaussian","17004","5","temperature","water","joint_required","7"
"gaussian","17005","1","temperature","water","joint_required","7"
"gaussian","17005","1","temperature","seasonality","a_specific","7"
"gaussian","17005","1","water","seasonality","a_specific","7"
"gaussian","17005","5","temperature","water","joint_required","7"
"gaussian","17005","6","temperature","water","joint_required","7"
"gaussian","17005","7","temperature","water","joint_required","7"
"gaussian","17006","2","temperature","seasonality","a_specific","7"
"gaussian","17006","5","temperature","water","joint_required","7"
"gaussian","17006","5","temperature","seasonality","a_specific","7"
"gaussian","17006","5","water","seasonality","a_specific","7"
"gaussian","17006","6","temperature","water","joint_required","7"
"gaussian","17006","6","temperature","seasonality","a_specific","7"
"gaussian","17006","6","water","seasonality","a_specific","7"
"gaussian","17007","7","temperature","water","joint_required","7"
"gaussian","17008","1","temperature","water","joint_required","7"
"gaussian","17008","5","temperature","water","joint_required","7"
"gaussian","17008","7","temperature","water","joint_required","7"
"gaussian","17009","2","temperature","water","joint_required","7"
"gaussian","17009","3","temperature","water","joint_required","7"
"gaussian","17009","3","temperature","seasonality","a_specific","7"
"gaussian","17009","3","water","seasonality","a_specific","7"
"gaussian","17009","4","temperature","water","joint_required","7"
"gaussian","17009","4","temperature","seasonality","a_specific","7"
