"family","seed","target_block","process_a","process_b","state","n_sources"
"gaussian","17009","4","water","seasonality","a_specific","7"
"gaussian","17010","1","temperature","water","joint_required","7"
"gaussian","17010","4","temperature","water","joint_required","7"
"gaussian","17010","6","temperature","water","joint_required","7"
"gaussian","17010","7","temperature","water","joint_required","7"
"interaction","17001","2","water","seasonality","a_specific","7"
"interaction","17002","3","temperature","water","joint_required","7"
"interaction","17002","6","water","seasonality","a_specific","7"
"interaction","17003","1","temperature","water","joint_required","7"
"interaction","17003","4","temperature","water","joint_required","7"
"interaction","17003","6","temperature","water","joint_required","7"
"interaction","17003","6","temperature","seasonality","a_specific","7"
"interaction","17003","6","water","seasonality","a_specific","7"
"interaction","17004","3","temperature","water","joint_required","7"
"interaction","17004","4","temperature","water","joint_required","7"
"interaction","17004","5","water","seasonality","a_specific","7"
"interaction","17004","6","temperature","water","joint_required","7"
"interaction","17004","6","temperature","seasonality","a_specific","7"
"interaction","17004","6","water","seasonality","a_specific","7"
"interaction","17005","1","temperature","water","joint_required","7"
"interaction","17005","6","temperature","water","joint_required","7"
"interaction","17006","0","temperature","seasonality","a_specific","7"
"interaction","17006","5","water","seasonality","a_specific","7"
"interaction","17007","0","temperature","water","joint_required","7"
"interaction","17007","0","temperature","seasonality","a_specific","7"
"interaction","17007","0","water","seasonality","a_specific","7"
"interaction","17008","0","temperature","water","joint_required","7"
"interaction","17009","3","temperature","seasonality","a_specific","7"
"interaction","17009","6","temperature","water","joint_required","7"
"interaction","17010","5","temperature","water","joint_required","7"
"interaction","17010","5","temperature","seasonality","a_specific","7"
"interaction","17010","5","water","seasonality","a_specific","7"
"observation_confounded","17001","1","temperature","water","joint_required","7"
"observation_confounded","17001","1","temperature","seasonality","a_specific","7"
"observation_confounded","17001","1","water","seasonality","a_specific","7"
"observation_confounded","17001","2","temperature","water","joint_required","7"
"observation_confounded","17001","4","temperature","seasonality","a_specific","7"
"observation_confounded","17003","1","temperature","water","joint_required","7"
"observation_confounded","17003","5","temperature","water","joint_required","7"
"observation_confounded","17005","0","temperature","water","joint_required","7"
"observation_confounded","17006","7","temperature","water","joint_required","7"
"observation_confounded","17007","2","temperature","water","joint_required","7"
"observation_confounded","17007","6","temperature","water","joint_required","7"
"observation_confounded","17008","1","temperature","water","joint_required","7"
"observation_confounded","17009","0","temperature","seasonality","a_specific","7"
"observation_confounded","17009","1","temperature","water","joint_required","7"
"observation_confounded","17009","2","temperature","water","joint_required","7"
"observation_confounded","17009","5","temperature","water","joint_required","7"
"observation_confounded","17009","6","temperature","water","joint_required","7"
"observation_confounded","17009","7","temperature","water","joint_required","7"
"observation_confounded","17009","7","temperature","seasonality","a_specific","7"
"observation_confounded","17009","7","water","seasonality","a_specific","7"
"observation_confounded","17010","7","temperature","water","joint_required","7"
"omitted_driver","17001","2","temperature","water","joint_required","7"
"omitted_driver","17001","3","temperature","water","joint_required","7"
"omitted_driver","17001","5","temperature","water","joint_required","7"
"omitted_driver","17001","5","temperature","seasonality","a_specific","7"
"omitted_driver","17001","5","water","seasonality","a_specific","7"
"omitted_driver","17001","6","temperature","water","joint_required","7"
"omitted_driver","17003","5","temperature","water","joint_required","7"
"omitted_driver","17004","4","temperature","water","joint_required","7"
"omitted_driver","17005","1","temperature","water","joint_required","7"
"omitted_driver","17005","6","temperature","water","joint_required","7"
"omitted_driver","17006","3","temperature","water","joint_required","7"
"omitted_driver","17009","1","temperature","water","joint_required","7"
"omitted_driver","17009","4","temperature","water","joint_required","7"
"omitted_driver","17009","5","temperature","water","joint_required","7"
"omitted_driver","17009","7","water","seasonality","a_specific","7"
"omitted_driver","17010","7","temperature","water","joint_required","7"
"soft_threshold","17001","1","temperature","water","joint_required","7"
"soft_threshold","17001","2","temperature","water","joint_required","7"
"soft_threshold","17001","5","temperature","water","joint_required","7"
"soft_threshold","17002","3","temperature","water","joint_required","7"
"soft_threshold","17002","4","temperature","water","joint_required","7"
"soft_threshold","17002","6","temperature","water","joint_required","7"
"soft_threshold","17003","4","temperature","water","joint_required","7"
"soft_threshold","17004","1","temperature","water","joint_required","7"
"soft_threshold","17004","4","temperature","water","joint_required","7"
"soft_threshold","17004","6","temperature","water","joint_required","7"
"soft_threshold","17005","1","temperature","water","joint_required","7"
"soft_threshold","17005","2","temperature","water","joint_required","7"
"soft_threshold","17005","3","temperature","water","joint_required","7"
"soft_threshold","17005","4","temperature","seasonality","a_specific","7"
"soft_threshold","17005","6","temperature","water","joint_required","7"
"soft_threshold","17005","6","temperature","seasonality","a_specific","7"
"soft_threshold","17005","6","water","seasonality","a_specific","7"
"soft_threshold","17005","7","temperature","water","joint_required","7"
"soft_threshold","17006","1","temperature","water","joint_required","7"
"soft_threshold","17006","2","temperature","water","joint_required","7"
"soft_threshold","17006","4","temperature","water","joint_required","7"
"soft_threshold","17006","6","temperature","water","joint_required","7"
"soft_threshold","17007","0","temperature","water","joint_required","7"
"soft_threshold","17007","4","temperature","seasonality","a_specific","7"
"soft_threshold","17007","5","temperature","seasonality","a_specific","7"
"soft_threshold","17007","6","temperature","water","joint_required","7"
"soft_threshold","17008","3","temperature","water","joint_required","7"
"soft_threshold","17008","5","temperature","water","joint_required","7"
"soft_threshold","17008","7","temperature","water","joint_required","7"
"soft_threshold","17009","2","temperature","water","joint_required","7"
"soft_threshold","17009","4","temperature","water","joint_required","7"
"soft_threshold","17010","1","temperature","water","joint_required","7"
"soft_threshold","17010","5","temperature","water","joint_required","7"
"soft_threshold","17010","6","temperature","water","joint_required","7"
