scenario,n,stable_exact_n,stable_exact_rate,canonical_exact_n,canonical_exact_rate,robust_exact_n,robust_exact_rate,model_disagreement_n,stable_exact_among_model_disagreement_n,stable_exact_among_model_disagreement_rate
asymmetric,10,10,1.0,8,0.8,10,1.0,6,6,1.0
gaussian,10,10,1.0,10,1.0,9,0.9,5,5,1.0
interaction,10,10,1.0,8,0.8,10,1.0,4,4,1.0
observation_confounded,10,10,1.0,10,1.0,10,1.0,0,0,
omitted_driver,10,7,0.7,10,1.0,7,0.7,3,0,0.0
soft_threshold,10,8,0.8,6,0.6,8,0.8,4,4,1.0
ALL,60,55,0.9166666667,52,0.8666666667,54,0.9,22,19,0.8636363636
