scientific_name,m_km,model_pool_occurrences,candidate_target_cells,background_points,used_all_available
Achillea setacea,150,936,107243,5000,False
Achillea setacea,300,936,154466,5000,False
Achillea setacea,500,936,208469,5000,False
Pimpinella villosa,150,235,19754,5000,False
Pimpinella villosa,300,235,26247,5000,False
Pimpinella villosa,500,235,33930,5000,False
Euphrasia tetraquetra,150,269,28177,5000,False
Euphrasia tetraquetra,300,269,45437,5000,False
Euphrasia tetraquetra,500,269,72362,5000,False
Rytidosperma pilosum,150,756,28669,5000,False
Rytidosperma pilosum,300,756,35876,5000,False
Rytidosperma pilosum,500,756,43293,5000,False
Raoulia tenuicaulis,150,317,8573,5000,False
Raoulia tenuicaulis,300,317,9200,5000,False
Raoulia tenuicaulis,500,317,9769,5000,False
Saponaria ocymoides,150,7609,161624,5000,False
Saponaria ocymoides,300,7609,208353,5000,False
Saponaria ocymoides,500,7609,248734,5000,False
Arctostaphylos manzanita,150,243,11917,5000,False
Arctostaphylos manzanita,300,243,20860,5000,False
Arctostaphylos manzanita,500,243,31328,5000,False
Nelumbo nucifera,150,1022,243332,5000,False
Nelumbo nucifera,300,1022,420289,5000,False
Nelumbo nucifera,500,1022,596662,5000,False
Dendrobium cunninghamii,150,331,8980,5000,False
Dendrobium cunninghamii,300,331,9831,5000,False
Dendrobium cunninghamii,500,331,9872,5000,False
Commelina obliqua,150,203,34235,5000,False
Commelina obliqua,300,203,50440,5000,False
Commelina obliqua,500,203,69014,5000,False
Eucalyptus microcorys,150,1079,19933,5000,False
Eucalyptus microcorys,300,1079,37861,5000,False
Eucalyptus microcorys,500,1079,51357,5000,False
Rubus elegantispinosus,150,301,67563,5000,False
Rubus elegantispinosus,300,301,89111,5000,False
Rubus elegantispinosus,500,301,121271,5000,False
Gentiana burseri,150,109,20086,5000,False
Gentiana burseri,300,109,46576,5000,False
Gentiana burseri,500,109,72272,5000,False
Ranunculus thora,150,213,31711,5000,False
Ranunculus thora,300,213,62162,5000,False
Ranunculus thora,500,213,97871,5000,False
Cordia lutea,150,314,9047,5000,False
Cordia lutea,300,314,15738,5000,False
Cordia lutea,500,314,22599,5000,False
Aidia micrantha,150,86,2973,2973,True
Aidia micrantha,300,86,5606,5000,False
Aidia micrantha,500,86,10827,5000,False
Carex demissa × oederi,150,185,15017,5000,False
Carex demissa × oederi,300,185,37290,5000,False
Carex demissa × oederi,500,185,74387,5000,False
Bupleurum praealtum,150,291,65049,5000,False
Bupleurum praealtum,300,291,102976,5000,False
Bupleurum praealtum,500,291,135499,5000,False
Microsorum scolopendria,150,528,36858,5000,False
Microsorum scolopendria,300,528,73360,5000,False
Microsorum scolopendria,500,528,126882,5000,False
Amphilophium crucigerum,150,433,65886,5000,False
Amphilophium crucigerum,300,433,103277,5000,False
Amphilophium crucigerum,500,433,144748,5000,False
Pinus taeda,150,1236,99369,5000,False
Pinus taeda,300,1236,219029,5000,False
Pinus taeda,500,1236,344469,5000,False
Geonoma pohliana,150,104,16702,5000,False
Geonoma pohliana,300,104,31402,5000,False
Geonoma pohliana,500,104,47000,5000,False
Spiraea arguta,150,497,84451,5000,False
Spiraea arguta,300,497,136829,5000,False
Spiraea arguta,500,497,187659,5000,False
Amyema pendula,150,842,21444,5000,False
Amyema pendula,300,842,27968,5000,False
Amyema pendula,500,842,34889,5000,False
Sabatia angularis,150,1732,67772,5000,False
Sabatia angularis,300,1732,89014,5000,False
Sabatia angularis,500,1732,114398,5000,False
Eremophila mitchellii,150,916,20348,5000,False
Eremophila mitchellii,300,916,32611,5000,False
Eremophila mitchellii,500,916,44350,5000,False
Ophrys arachnitiformis,150,464,56901,5000,False
Ophrys arachnitiformis,300,464,99870,5000,False
Ophrys arachnitiformis,500,464,137726,5000,False
Broussonetia monoica,150,201,15272,5000,False
Broussonetia monoica,300,201,18730,5000,False
Broussonetia monoica,500,201,22861,5000,False
Diplaziopsis pycnocarpos,150,572,66329,5000,False
Diplaziopsis pycnocarpos,300,572,91762,5000,False
Diplaziopsis pycnocarpos,500,572,118680,5000,False
Aira cupaniana,150,677,60502,5000,False
Aira cupaniana,300,677,98334,5000,False
Aira cupaniana,500,677,137641,5000,False
Cryptantha barbigera,150,314,21880,5000,False
Cryptantha barbigera,300,314,32428,5000,False
Cryptantha barbigera,500,314,47575,5000,False
Camassia quamash,150,1005,63996,5000,False
Camassia quamash,300,1005,122627,5000,False
Camassia quamash,500,1005,202113,5000,False
Eriodictyon californicum,150,791,16868,5000,False
Eriodictyon californicum,300,791,24593,5000,False
Eriodictyon californicum,500,791,36627,5000,False
