scientific_name,m_km,model_pool_occurrences,candidate_target_cells,background_points,used_all_available
Ceanothus oliganthus,150,146,11883,5000,False
Ceanothus oliganthus,300,146,21265,5000,False
Ceanothus oliganthus,500,146,33587,5000,False
Champereia manillana,150,226,7770,5000,False
Champereia manillana,300,226,13786,5000,False
Champereia manillana,500,226,24777,5000,False
Miconia sericea,150,199,24964,5000,False
Miconia sericea,300,199,33636,5000,False
Miconia sericea,500,199,45377,5000,False
Quercus lyrata,150,509,58327,5000,False
Quercus lyrata,300,509,85626,5000,False
Quercus lyrata,500,509,120432,5000,False
Epilobium melanocaulon,150,227,7796,5000,False
Epilobium melanocaulon,300,227,9090,5000,False
Epilobium melanocaulon,500,227,9698,5000,False
Euphorbia tithymaloides,150,540,102547,5000,False
Euphorbia tithymaloides,300,540,169227,5000,False
Euphorbia tithymaloides,500,540,248783,5000,False
Carya ovata,150,3750,112595,5000,False
Carya ovata,300,3750,137463,5000,False
Carya ovata,500,3750,162855,5000,False
Trichilia elegans,150,249,34579,5000,False
Trichilia elegans,300,249,57098,5000,False
Trichilia elegans,500,249,69934,5000,False
Anemone ranunculoides,150,7883,261003,5000,False
Anemone ranunculoides,300,7883,345385,5000,False
Anemone ranunculoides,500,7883,418794,5000,False
Salvadora persica,150,318,19317,5000,False
Salvadora persica,300,318,35093,5000,False
Salvadora persica,500,318,60935,5000,False
Selaginella arenicola,150,115,19268,5000,False
Selaginella arenicola,300,115,38163,5000,False
Selaginella arenicola,500,115,63539,5000,False
Viburnum prunifolium,150,2386,64861,5000,False
Viburnum prunifolium,300,2386,96616,5000,False
Viburnum prunifolium,500,2386,147613,5000,False
Crassula ovata,150,602,83830,5000,False
Crassula ovata,300,602,161454,5000,False
Crassula ovata,500,602,229981,5000,False
Jovibarba globifera,150,436,89265,5000,False
Jovibarba globifera,300,436,164461,5000,False
Jovibarba globifera,500,436,226448,5000,False
Hypoestes forskaolii,150,390,23585,5000,False
Hypoestes forskaolii,300,390,38460,5000,False
Hypoestes forskaolii,500,390,50352,5000,False
Dithyrea californica,150,189,12023,5000,False
Dithyrea californica,300,189,21010,5000,False
Dithyrea californica,500,189,32377,5000,False
Philodendron quinquenervium,150,225,26799,5000,False
Philodendron quinquenervium,300,225,40461,5000,False
Philodendron quinquenervium,500,225,53170,5000,False
